Item,Sing1,Sing2
Dried apricots,of,of
Agar-agar,of,of
Garlic,of,of
Dehydrated garlic,of,of
Garlic powder,of,of
Chicken wing(s),of,of
Slivered almonds,of,of
Vanilla slivered almonds,of,of
Powdered almonds,of,of
Roasted almonds,of,of
Amaretto,of,of
Pineapple,of,of
Victoria pineapple,of,of
Andouillette(s),of,of
Dill,of,of
Chopped dill,of,of
Armagnac,of,of
Lemon vanilla flavor,of,of
Bitter almond aroma,of,of
Vanilla flavor,of,of
White asparagus,of,of
Green asparagus(s),of,of
Eggplant(s),of,of
Avocado(s),of,of
Bacon,of,of
Baguette,of,of
Banana(s),of,of
Tray(s) of button mushrooms,of,of
Cherry tomato tray(s),of,of
Basil,of,of
Nice apples,of,of
Thick slices of farmhouse bread,of,of
Beet(s),of,of
Red beet(s),of,of
Butter,of,of
Peanut butter,of,of
Semi-salted butter,of,of
Soft butter,of,of
Salted butter,of,of
Soft butter,of,of
Bicarbonate of soda,of,of
Spoon cookies,of,of
White egg(s),of,of
White leek(s),of,of
Chicken breast(s),of,of
Chard(s),of,of
Jar of pickled bell pepper(s),of,of
Broth,of,of
Vegetable broth cube,of,of
Beef broth,of,of
Vegetable broth,of,of
Chicken broth,of,of
Poultry broth,of,of
Parsley bouquet,of,of
Garnished bouquet(s),of,of
Boursin(s),of,of
Bottle(s) brut champagne,of,of
Bottle(s) red wine,of,of
Can(s) tomato paste,of,of
Celery stalk(s),of,of
Blue Bresse,of,of
Brioche,of,of
Brick(s) of liquid crème fraîche,of,of
Brocoli(s),of,of
Fennel bulb,of,of
Bulot(s),of,of
Burrata,of,of
Goat's cheese log,of,of
Beef,of,of
Ground beef,of,of
Bitter cocoa,of,of
Bitter cocoa powder,of,of
Cocoa powder,of,of
Unsweetened cocoa powder,of,of
Coffee,of,of
Soluble coffee,of,of
Camembert,of,of
Duck(s),of,of
Cancoillotte,of,of
Cinnamon,of,of
Cinnamon powder,of,of
Caramel,of,of
Salted butter caramel,of,of
Cardamom,of,of
Carotte(s),of,of
Fresh square,of,of
Brown sugar,of,of
Caviar,of,of
Chervil,of,of
Cherries,of,of
Walnut kernels,of,of
Sausage meat,of,of
Mushrooms,of,of
Paris mushrooms,of,of
Chanterelle(s),of,of
Chantilly,of,of
Breadcrumbs,of,of
Cheddar,of,of
Chipolatas,of,of
Chocolate,of,of
Bitter chocolate powder,of,of
Milk chocolate,of,of
White chocolate,of,of
Chocolate powder,of,of
Dark chocolate,of,of
50% dark chocolate,of,of
Dark pastry chocolate,of,of
70% cocoa dark chocolate,of,of
Dark baking chocolate,of,of
Pastry chocolate,of,of
Chorizo,of,of
Mild chorizo,of,of
Strong chorizo,of,of
White cabbage,of,of
Brussels sprouts,of,of
Kohlrabi,of,of
Green cabbage,of,of
Cabbage(s),of,of
Chou(x) de bruxelle,of,of
Cauliflower,of,of
Chestnut(s),of,of
Goat cheese,of,of
Ciboulette,of,of
Lemon(s),of,of
Lime(s),of,of
Clove(s),of,of
Heart of palm,of,of
Cognac,of,of
Quince,of,of
Lamb collar,of,of
Lamb collar(s),of,of
Colombo,of,of
Food coloring red,of,of
Combava,of,of
Apple compote,of,of
Comté cheese,of,of
Shredded Comté cheese,of,of
Tomato concentrate,of,of
Conchiglioni(s),of,of
Cucumber(s),of,of
Strawberry jam,of,of
Raspberry jam,of,of
Chocolate chips,of,of
Parmesan shavings,of,of
Hulls,of,of
Coriander,of,of
Chopped coriander,of,of
Coriander powder,of,of
Corn flakes,of,of
Corned-beef,of,of
Pickles,of,of
Raspberry sauce,of,of
Red fruit coulis,of,of
Tomato coulis,of,of
Butternut squash,of,of
Zucchini(s),of,of
Couscous,of,of
Crab(s),of,of
Dried cranberries,of,of
Cranberrys,of,of
Shrimp(s),of,of
Grey shrimps,of,of
Pink shrimps,of,of
Croutons,of,of
Cream,of,of
Light cream,of,of
Custard cream,of,of
Whipped cream,of,of
Coconut cream,of,of
Chestnut cream,of,of
Balsamic vinegar cream with toscoro berries,of,of
Whole cream,of,of
30% full cream,of,of
Whipping cream,of,of
Crème fleurette 30%,of,of
Whipped cream,of,of
Heavy cream,of,of
Fresh cream,of,of
30% fresh cream,of,of
3% light cream,of,of
Whole cream,of,of
Liquid fresh cream,of,of
Whole cream,of,of
Semi-thick fresh cream,of,of
Heavy cream,of,of
15% liquid cream,of,of
35% liquid cream,of,of
30% cream,of,of
Light cream,of,of
Mounted cream,of,of
Cream pudding,of,of
Sour cream,of,of
Thick cream,of,of
Crêpe dentelle(s),of,of
French pancakes,of,of
Crêpes dentelles,of,of
Broth cube(s),of,of
Beef bouillon cube(s),of,of
Vegetable bouillon cube(s),of,of
Meat broth cube(s),of,of
Chicken bouillon cube(s),of,of
Rabbit legs,of,of
Chicken thighs,of,of
Cumin,of,of
Cumin powder,of,of
Curcuma,of,of
Toothpicks,of,of
Curry,of,of
Capers,of,of
Porcini mushrooms,of,of
Celery root,of,of
Lamb chop,of,of
Artichoke heart,of,of
Datte medjool,of,of
Dates,of,of
Dried dates,of,of
Back of fresh salmon,of,of
Diced ham,of,of
Orange blossom water,of,of
Emmental,of,of
Grated Emmental cheese,of,of
Squid(s),of,of
Cuttlefish ink,of,of
Endives,of,of
Beef rib steak,of,of
Shoulder(s) of lamb,of,of
Spices,of,of
"""Turkey cutlet(s)""",of,of
Chicken cutlet(s),of,of
Swordfish,of,of
Vanilla essence,of,of
Tarragon,of,of
Chopped tarragon,of,of
Star anise,of,of
Vanilla extract,of,of
Fiscella,of,of
Flour,of,of
Buckwheat flour,of,of
Wheat flour,of,of
Rice flour,of,of
Sticky rice flour,of,of
Farine de sarrasin,of,of
Flour t55,of,of
Sifted flour,of,of
Fennel,of,of
Feta cheese,of,of
Brick pastry,of,of
Gelatin sheets,of,of
Lasagne sheet(s),of,of
Bay leaf(s),of,of
Filo sheets,of,of
Rice leaves,of,of
Figs,of,of
White figs,of,of
Dried figs,of,of
Beef tenderloin,of,of
Pork tenderloin,of,of
Smoked tenderloin,of,of
Tournedos filet,of,of
Salmon fillet(s),of,of
Pike-perch fillets,of,of
Sole fillets,of,of
Poultry fillets,of,of
Herbs,of,of
Flageolet(s),of,of
Edible flowers,of,of
Orange blossom,of,of
Salt flowers,of,of
Oat flakes,of,of
Foie gras,of,of
Poultry stock,of,of
Pie crust,of,of
Veal stock,of,of
Poultry stock,of,of
Strawberry(s),of,of
Tagada strawberry(s),of,of
Raspberry(s),of,of
Cheese,of,of
Garlic and herb cheese,of,of
Cottage cheese,of,of
0% fromage blanc,of,of
Goat's cheese,of,of
Feta cheese,of,of
Grated cheese,of,of
Passion fruit(s),of,of
Red fruit,of,of
Fish stock,of,of
Starch,of,of
Corn starch,of,of
Patties,of,of
Rice cakes,of,of
Gambas,of,of
Trim,of,of
Gavotte,of,of
Instant jelly,of,of
Leg of lamb,of,of
Ginger,of,of
Ginger powder,of,of
Giraumon,of,of
Clove(s),of,of
Chocolate ice cream,of,of
Vanilla ice cream,of,of
Gnocchis,of,of
Gorgonzola,of,of
Yellow food coloring drops,of,of
Red food coloring drop(s),of,of
Chia seeds,of,of
Pumpkin seeds,of,of
Cumin seeds,of,of
Fennel seeds,of,of
Mustard seeds,of,of
Sesame seeds,of,of
White sesame seeds,of,of
Golden sesame seeds,of,of
Goose fat,of,of
Grand marnier,of,of
Granny,of,of
Coarse salt,of,of
Gruyère,of,of
Grated Gruyère,of,of
Guanciale,of,of
Gelatin,of,of
Poultry gizzard(s),of,of
Green bean(s),of,of
White beans,of,of
Pink beans,of,of
Kidney beans,of,of
Green bean(s),of,of
Harissa,of,of
Herbs,of,of
Provence herbs,of,of
Dried herbs,of,of
Oil,of,of
Peanut oil,of,of
Olive oil,of,of
Coconut oil,of,of
Rapeseed oil,of,of
Frying oil,of,of
Walnut oil,of,of
Sesame oil,of,of
Sunflower oil,of,of
Vegetable oil,of,of
Ham,of,of
Cooked ham,of,of
Parma ham,of,of
Egg yolk(s),of,of
Spinach shoot,of,of
Orange juice,of,of
Lemon juice,of,of
Lime juice,of,of
Lychee juice,of,of
Grapefruit juice,of,of
Veal juice,of,of
Khakies,of,of
Ketchup,of,of
Philadelphia,of,of
Kiwi(s),of,of
Kubor,of,of
Milk,of,of
Condensed milk,of,of
Unsweetened condensed milk,of,of
Sweetened condensed milk,of,of
Almond milk,of,of
Goat's milk,of,of
Coconut milk,of,of
Soy milk,of,of
Semi-skimmed milk,of,of
Whole milk,of,of
Plant milk,of,of
Skim milk,of,of
Lettuce,of,of
Lambis,of,of
Lobsters,of,of
Langoustine(s),of,of
Rabbit,of,of
Smoked bacon,of,of
Bacon,of,of
Smoked bacon,of,of
Lasagnes,of,of
Laurel,of,of
Lenses,of,of
Coral lentils,of,of
Green lentils,of,of
Yeast,of,of
Baker's yeast,of,of
Baking powder,of,of
Raw linguine,of,of
Litchi in syrup,of,of
Litchi(s),of,of
Macaronis,of,of
Frozen vegetable medley,of,of
Mango(s),of,of
Manicotti,of,of
Cassava,of,of
Mackerel(s),of,of
Margarine,of,of
Melted margarine,of,of
Vegetable margarine,of,of
Maroilles,of,of
Mascarpone,of,of
Mayonnaise,of,of
Corn,of,of
Maïzena,of,of
McVitties,of,of
Mint,of,of
Fresh mint,of,of
Merguez,of,of
Breadcrumbs,of,of
Honey,of,of
Acacia honey,of,of
Truffle honey,of,of
Mini carottes,of,of
Mini snickers,of,of
Mirabelles,of,of
Mirin,of,of
Pieces of sugar,of,of
Morel(s),of,of
Dried morel(s),of,of
Salt cod,of,of
Mussels,of,of
Chocolate mousse,of,of
Mousseron(s),of,of
Mustard,of,of
Strong mustard,of,of
Old-fashioned mustard,of,of
Mozzarella,of,of
Grated mozzarella,of,of
Nutmeg,of,of
Nutmeg powder,of,of
Grated nutmeg,of,of
Blueberrys,of,of
4-spice blend,of,of
5-berry mix,of,of
Turnip(s),of,of
Nesquik,of,of
Butter hazelnut,of,of
Hazelnuts,of,of
Shelled hazelnuts,of,of
Roasted hazelnuts,of,of
Chopped hazelnuts,of,of
Hazelnut powder,of,of
Whole hazelnuts,of,of
Walnuts,of,of
Crushed nuts,of,of
Grated coconut,of,of
Grenoble walnut,of,of
Nutmeg,of,of
Nutmeg powder,of,of
Grated nutmeg,of,of
Scallops,of,of
Nutmeg,of,of
Noodles,of,of
Nuoc mâm,of,of
Nutella,of,of
Cod eggs,of,of
Onion(s),of,of
White onion(s),of,of
Sweet onion(s),of,of
Chopped onion(s),of,of
Yellow onion(s),of,of
Medium onion(s),of,of
Red onion(s),of,of
Green onion(s),of,of
Chopped onion(s),of,of
Green olives,of,of
Olives,of,of
Black olives,of,of
Pitted black olives,of,of
Orange(s),of,of
Oreos,of,of
Oregano,of,of
Bread,of,of
Milk bread,of,of
Brioche bread,of,of
Gingerbread,of,of
Country bread,of,of
Crumb bread,of,of
Stale bread,of,of
Hamburger bun(s),of,of
Beef chuck,of,of
Clam(s),of,of
Grapefruit,of,of
Parsnips,of,of
Papaya,of,of
Paprika,of,of
Smoked paprika,of,of
Boudoir package(s),of,of
Marshmallow pack(s),of,of
Wafer pack(s),of,of
Pack(s) of bacon,of,of
Package(s) smoked bacon,of,of
Powdered hazelnut pack(s),of,of
Parmesan,of,of
Grated Parmesan,of,of
Sweet potato(s),of,of
Paupiette(s),of,of
Rump steak(s),of,of
Salmon steak(s),of,of
Pecorino,of,of
Pennes,of,of
Japanese pearls,of,of
Truffle beads,of,of
Parsley,of,of
Chopped parsley,of,of
Curled parsley,of,of
Chopped parsley,of,of
Flat-leaf parsley,of,of
Small peppers,of,of
Small green peppers,of,of
Small red peppers,of,of
Small onion(s),of,of
Small apples,of,of
Small tomatoes,of,of
Peas,of,of
Philadelphia,of,of
Pigeon,of,of
Pine pinions,of,of
Chili pepper,of,of
Espelette pepper,of,of
Cayenne pepper,of,of
Sweet pepper,of,of
Sweet pepper powder,of,of
Chilli powder,of,of
Hot pepper(s),of,of
Dried pepper,of,of
Green pepper,of,of
Red pepper(s),of,of
Guinea fowl,of,of
Pistachios,of,of
Chopped pistachios,of,of
Unsalted pistachios,of,of
Dragon fruit,of,of
Pizzoccheri,of,of
Praline plate(s),of,of
Oyster mushroom(s),of,of
Pear(s),of,of
Leek(s),of,of
Pears in syrup,of,of
Split peas,of,of
Chickpeas,of,of
Sweet peas,of,of
Fish,of,of
Lamb belly,of,of
Pork belly,of,of
Pepper,of,of
White pepper,of,of
Lebanese pepper,of,of
Black pepper,of,of
Bell pepper(s),of,of
Yellow bell pepper(s),of,of
Red bell pepper(s),of,of
Green bell pepper(s),of,of
Mutti garlic polpa,of,of
Bintje potato,of,of
Apple(s),of,of
Potato(s),of,of
Potatoes,of,of
Pork,of,of
Ground pork,of,of
Porto,of,of
Pumpkin,of,of
Pumpkin(s),of,of
Almond powder,of,of
Cocoa powder,of,of
Yellow curry powder,of,of
Hazelnut powder,of,of
Pistachio powder,of,of
Almond powder,of,of
Chicken,of,of
Octopus(s),of,of
Spinach shoot,of,of
Bamboo shoot,of,of
Soybean pods,of,of
Pralinoise,of,of
Prune(s),of,of
Pitted prune(s),of,of
Dried prunes,of,of
Tomato pulp,of,of
Raspberry puree,of,of
Mash mango,of,of
Mash passion,of,of
Mash tomato,of,of
Pâte brisée,of,of
Peanut paste,of,of
Green curry paste,of,of
Hazelnut paste,of,of
Pistachio paste,of,of
Rice paste,of,of
Puff pastry,of,of
Filo dough,of,of
Shortbread dough,of,of
Pizza dough,of,of
Raviole dough,of,of
Pie dough,of,of
Pasta,of,of
Chocolate chips,of,of
Dark chocolate chips,of,of
Peach(es),of,of
Peaches in syrup,of,of
Quenelle(s),of,of
Monkfish tail(s),of,of
Quinoa,of,of
Raifort,of,of
Dried grapes,of,of
Ras-el-hanout,of,of
Reblochon,of,of
Leftover meat,of,of
Rhubarb,of,of
Rhum,of,of
Dark rum,of,of
Ricotta,of,of
Rigatoni(s),of,of
Rice,of,of
Arborio rice,of,of
Sticky rice,of,of
Long rice,of,of
Round rice,of,of
Plain puffed rice,of,of
Thaï rice,of,of
Risotto rice,of,of
Rosemary,of,of
Goat's cheese log,of,of
Roquefort,of,of
Rocket salad,of,of
Rumsteak(s),of,of
Brittany shortbreads,of,of
Safran,of,of
Scallops,of,of
Philadelphia,of,of
Sainte-maure de touraine,of,of
Salad,of,of
Pike-perch,of,of
Sardine,of,of
Buckwheat,of,of
Savory,of,of
Bolognese sauce,of,of
Chocolate sauce,of,of
Nuoc mam sauce,of,of
Soy sauce,of,of
Teriyaki sauce,of,of
Tomato sauce,of,of
Yakitori sauce,of,of
Sausage(s),of,of
Sausage(s),of,of
Smoked sausage(s),of,of
Sausage,of,of
Garlic sausage,of,of
Sage,of,of
Salmon,of,of
Cuttlefish,of,of
Salt,of,of
Saddle of lamb,of,of
Semolina,of,of
Fine semolina,of,of
Shiitake(s),of,of
Agave syrup,of,of
Maple syrup,of,of
Smen,of,of
Soybeans,of,of
Oat bran,of,of
Soup,of,of
Spaghettis,of,of
Spéculoos,of,of
Tuna steak(s),of,of
Chopped steak(s),of,of
Sugar,of,of
Blond sugar,of,of
Brown sugar,of,of
Complete sugar,of,of
Crystal sugar,of,of
Cane sugar,of,of
Powdered sugar,of,of
Powdered sugar,of,of
Grainy sugar,of,of
Brown sugar,of,of
Semolina sugar,of,of
Vanilla sugar,of,of
Guinea fowl supreme,of,of
Capon supremes,of,of
Sesame,of,of
White sesame,of,of
Tabasco,of,of
Garlic and parsley tablet(s),of,of
Milk chocolate tablet(s),of,of
White chocolate tablet(s),of,of
Black chocolate tablet(s),of,of
Tagliatelles,of,of
Tahini,of,of
Ham heel,of,of
Tapioca,of,of
Thon,of,of
Thyme,of,of
Rhubarb stems,of,of
Tomato(s),of,of
Tomate(s) cerise(s),of,of
Tomate(s) confite(s),of,of
Tomate(s) pelée(s),of,of
Dried tomato(s),of,of
Chopped tomatoes,of,of
Medium tomatoes,of,of
Dried tomatoes,of,of
Jerusalem artichoke,of,of
Tortellinis,of,of
Corn tortilla,of,of
Tortilla(s),of,of
Ham slice(s),of,of
Slice(s) of Bayonne ham,of,of
Parma ham slice(s),of,of
Slices of smoked salmon,of,of
Black truffle(s),of,of
Smoked trout,of,of
Trout(s),of,of
Twix,of,of
Cabbage,of,of
Vanilla,of,of
Vanilla powder,of,of
Liquid vanilla,of,of
Vergeoise blonde,of,of
Chinese vermicelli,of,of
Chocolate vermicelli,of,of
Rice vermicelli,of,of
Vermouth,of,of
Meat,of,of
Beef,of,of
Ground beef,of,of
Lean beef,of,of
Minced meat,of,of
Ground meat 5% (fat),of,of
White wine,of,of
Dry white wine,of,of
Madeira wine,of,of
Yellow wine,of,of
Rosé wine,of,of
Red wine,of,of
Vinegar,of,of
Balsamic vinegar,of,of
White balsamic vinegar,of,of
White vinegar,of,of
Spirit vinegar,of,of
Cider vinegar,of,of
Rice vinegar,of,of
Red wine vinegar,of,of
Sherry vinegar,of,of
Poultry,of,of
Wasabi,of,of
Whisky,of,of
Wrap,of,of
Yogurt,of,of
Lemon zests,of,of
Orange zests,of,of
Shallot(s),of,of
Chopped shallot(s),of,of
Minced shallot(s),of,of
Sweetener,of,of
Lamb shoulder,of,of
Pork shoulder,of,of
Chopped spinach,of,of
Spinach(s),of,of
Egg(s),of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
,of,of
